section,per_run
algorithm,profile,pattern,label,run_id,total,success,fail,success_rate,avg_ms,p95_ms,p99_ms,max_ms,source_file
metric_aware,db,burst,range_heavy_matrix,3,500.000,500.000,0.000,100.000,193.364,222.533,269.972,617.303
metric_aware,db,steady,mixed_50_50_matrix,3,500.000,500.000,0.000,100.000,235.203,274.606,309.326,990.807
metric_aware,db,steady,point_light_matrix,3,500.000,500.000,0.000,100.000,113.262,133.746,147.958,452.719
metric_aware,db,steady,range_heavy_matrix,3,500.000,500.000,0.000,100.000,175.073,202.524,232.209,544.468
round_robin,db,burst,mixed_50_50_matrix,3,500.000,500.000,0.000,100.000,94.099,101.279,417.562,1091.420
round_robin,db,burst,point_light_matrix,3,500.000,500.000,0.000,100.000,97.892,109.483,117.310,1108.918
round_robin,db,burst,range_heavy_matrix,3,500.000,500.000,0.000,100.000,97.873,111.316,121.309,756.522
round_robin,db,steady,mixed_50_50_matrix,3,500.000,500.000,0.000,100.000,95.576,105.145,112.288,1069.232
round_robin,db,steady,point_light_matrix,3,500.000,500.000,0.000,100.000,97.288,106.979,419.860,1076.997
round_robin,db,steady,range_heavy_matrix,3,500.000,500.000,0.000,100.000,97.252,106.854,423.994,1079.502
ucb,db,burst,mixed_50_50_matrix,3,500.000,500.000,0.000,100.000,93.695,108.972,420.554,728.135
ucb,db,burst,point_light_matrix,3,500.000,500.000,0.000,100.000,97.043,118.489,420.690,729.958
ucb,db,burst,range_heavy_matrix,3,500.000,500.000,0.000,100.000,95.658,113.344,121.632,449.010
ucb,db,steady,mixed_50_50_matrix,3,500.000,500.000,0.000,100.000,95.129,110.104,119.621,752.634
ucb,db,steady,point_light_matrix,3,500.000,500.000,0.000,100.000,96.640,111.207,427.985,1049.637
ucb,db,steady,range_heavy_matrix,3,500.000,500.000,0.000,100.000,99.093,115.984,429.299,1036.490
